;path;paper_ref;task_name;task_type;split;num_actions;num_participants;num_choices;num_characters
0;badham2017deficits/;Badham, Sanborn & Maylor (2017);Shepard categorization;Supervised learning;train;2.0;95.0;33440.0;2479025.0
1;bahrami2020four/;Bahrami & Navajas (2020);Drifting four-armed bandit;Multi-armed bandits;train;4.0;965.0;139816.0;5172498.0
2;collsiöö2023MCPL/;Collsiöö, Juslin & Winman (2023);Multiple-cue judgment;Supervised learning;train;9.0;260.0;58600.0;9021238.0
3;cox2017information/;Cox, Hemmer, Aue & Criss (2018);Recall and recognition;Memory;train;36.0;462.0;118787.0;8902470.0
4;enkavi2019adaptivenback/;Enkavi, Eisenberg, ... & Poldrack (2019);N-back;Memory;train;2.0;522.0;223244.0;8659530.0
5;enkavi2019digitspan/;Enkavi, Eisenberg, ... & Poldrack (2019);Digit span;Memory;train;36.0;522.0;107340.0;5859536.0
6;enkavi2019gonogo/;Enkavi, Eisenberg, ... & Poldrack (2019);Go/no-go;Decision-making;train;2.0;522.0;169747.0;7958272.0
7;enkavi2019recentprobes/;Enkavi, Eisenberg, ... & Poldrack (2019);Recent probes;Memory;train;2.0;522.0;38488.0;3914466.0
8;feng2021dynamics/;Feng, Wang, Zarnescu & Wilson (2021);Horizon task;Multi-armed bandits;train;2.0;29.0;32480.0;3318535.0
9;flesch2018comparing/;Flesch, Balaguer, ... & Summerfield (2018);Gardening task;Decision-making;train;2.0;342.0;205200.0;33411690.0
10;frey2017cct/;Frey, Pedroni, ... & Hertwig (2017);Columbia card task;Decision-making;train;2.0;1506.0;675829.0;75938117.0
11;frey2017risk/;Frey, Pedroni, ... & Hertwig (2017);Balloon analog risk task;Decision-making;train;2.0;1507.0;1689698.0;10972482.0
12;garcia2023experiential/;Garcia, Lebreton, Bourgeois-Gironde & Palminteri (2023);Experiential-symbolic task;Decision-making;train;2.0;391.0;79800.0;12282350.0
13;gershman2018deconstructing/;Gershman (2018);Two-armed bandit;Multi-armed bandits;train;2.0;89.0;17800.0;647601.0
14;gershman2020reward/;Gershman & Lai (2020);Conditional associative learning;Memory;train;3.0;85.0;46676.0;2522873.0
15;hebart2023things/;Hebart, Contier, ... & Baker (2023);THINGS odd-one-out;Miscellaneous;train;3.0;12340.0;2876880.0;163229796.0
