,task,baseline,unseen
0,frey2017risk,0.0921969562768936,participants
1,enkavi2019digitspan,0.9359011054039,participants
2,enkavi2019recentprobes,0.3867733776569366,participants
3,enkavi2019gonogo,0.0756708681583404,participants
4,enkavi2019adaptivenback,0.578707218170166,participants
5,wu2023chunking,0.19617253541946408,participants
6,badham2017deficits,0.6400891881379747,participants
7,levering2020revisiting,0.5335297036614413,participants
8,speekenbrink2008learning,0.6266581115648022,participants
9,plonsky2018when,0.6608717994067161,participants
10,peterson2021using,0.6564104155678254,participants
11,wulff2018description,0.6111133873125456,participants
12,bahrami2020four,0.939281046390533,participants
13,feng2021dynamics,0.55120176076889,participants
14,gershman2018deconstructing,0.4084153175354005,participants
15,lefebvre2017behavioural,0.4989098608493805,participants
16,sadeghiyeh2020temporal,0.681682825088501,participants
17,somerville2017charting,0.586027383804321,participants
18,steingroever2015data,1.178720672925313,participants
19,waltz2020differential,0.518403708934784,participants
20,wilson2014humans,0.63955120742321,participants
21,xiong2023neural,0.437755227088928,participants
22,hilbig2014generalized,0.1922362762758062,participants
23,ruggeri2022globalizability,0.6590430736541748,participants
24,gershman2020reward,0.7564103603363037,participants
25,hebart2023things,0.8343300819396973,participants
26,frey2017cct,0.2620568857372123,participants
27,flesch2018comparing,0.5885173661455722,participants
28,collsiöö2023MCPL,1.9236862861598658,participants
29,jansen2021dunningkruger,1.4126839637756348,participants
30,ludwig2023human,0.6060801347096761,participants
31,tomov2021multitask,1.029946118593216,participants
32,wulff2018sampling,0.545225203037262,participants
33,schulz2020finding,1.0114464759800001,participants
34,wu2018generalisation,2.792812824249268,participants
35,kool2016when,0.5913754105567932,participants
36,kool2017cost,0.6433215141296387,participants
37,feher2020humans,0.6070368885993958,experiments
38,dubois2022value,0.9811072945594788,experiments
