,task,marcelbinz/Llama-3.1-Centaur-70B-adapter,custom_metric,unseen
0,badham2017deficits,0.5327155590057373,False,participants
1,bahrami2020four,0.707500696182251,False,participants
2,enkavi2019adaptivenback,0.3963114023208618,False,participants
3,enkavi2019digitspan,0.5622283220291138,False,participants
4,enkavi2019gonogo,6.08317577643902e-06,False,participants
5,enkavi2019recentprobes,0.258254736661911,False,participants
6,feng2021dynamics,0.2126385569572448,False,participants
7,flesch2018comparing,0.3783228695392608,False,participants
8,frey2017cct,0.2035854756832122,False,participants
9,frey2017risk,0.0659697204828262,False,participants
10,gershman2018deconstructing,0.2963422238826751,False,participants
11,gershman2020reward,0.5134692788124084,False,participants
12,hebart2023things,0.7851982712745667,False,participants
13,hilbig2014generalized,0.0618637911975383,False,participants
14,kool2016when,0.4768262207508087,False,participants
15,kool2017cost,0.5248664617538452,False,participants
16,lefebvre2017behavioural,0.4936671555042267,False,participants
17,levering2020revisiting,0.4966620802879333,False,participants
18,ludwig2023human,0.4850379824638366,False,participants
19,peterson2021using,0.4318286180496216,False,participants
20,plonsky2018when,0.3390428125858307,False,participants
21,ruggeri2022globalizability,0.4382756948471069,False,participants
22,sadeghiyeh2020temporal,0.5787088871002197,False,participants
23,schulz2020finding,0.6409695744514465,False,participants
24,somerville2017charting,0.3381948173046112,False,participants
25,speekenbrink2008learning,0.5514048933982849,False,participants
26,steingroever2015data,0.9011964797973632,False,participants
27,tomov2020discovery,1.1237478256225586,False,participants
28,tomov2021multitask,0.5672242641448975,False,participants
29,waltz2020differential,0.1450676769018173,False,participants
30,wilson2014humans,0.4487724900245666,False,participants
31,wu2023chunking,0.1718213260173797,False,participants
32,wulff2018description,0.5907223224639893,False,participants
33,wulff2018sampling,0.4688478708267212,False,participants
34,xiong2023neural,0.3025435507297516,False,participants
35,zorowitz2023data,0.51312655210495,False,participants
0,collsiöö2023MCPL,1.123242735862732,True,participants
1,cox2017information,1.0586730241775513,True,participants
2,garcia2023experiential,0.453405886888504,True,participants
3,jansen2021dunningkruger,1.435141921043396,True,participants
4,krueger2022identifying,0.4278401136398315,True,participants
5,kumar2023disentangling,1.8709110021591189,True,participants
6,popov2023intent,0.8680258989334106,True,participants
7,wise2019acomputational,4.0728840827941895,True,participants
8,wu2018generalisation,1.8321380615234373,True,participants
9,zhu2020bayesian,2.3729681968688965,True,participants
0,feher2020humans,0.5103256106376648,False,experiments
1,dubois2022value,0.4165351688861847,False,experiments
0,jansen2021logic,1.6453335285186768,True,experiments
