,task,random,unseen
0,badham2017deficits,0.6931471805599453,participants
1,bahrami2020four,1.3862943611198906,participants
2,collsiöö2023MCPL,2.1972245773362196,participants
3,cox2017information,3.58351893845611,participants
4,enkavi2019adaptivenback,0.6931471805599453,participants
5,enkavi2019digitspan,3.58351893845611,participants
6,enkavi2019gonogo,0.6931471805599453,participants
7,enkavi2019recentprobes,0.6931471805599453,participants
8,feng2021dynamics,0.6931471805599453,participants
9,flesch2018comparing,0.6931471805599453,participants
10,frey2017cct,0.6931471805599453,participants
11,frey2017risk,0.6931471805599453,participants
12,garcia2023experiential,0.6931471805599453,participants
13,gershman2018deconstructing,0.6931471805599453,participants
14,gershman2020reward,1.0986122886681098,participants
15,hebart2023things,1.0986122886681098,participants
16,hilbig2014generalized,0.6931471805599453,participants
17,jansen2021dunningkruger,2.0149030205422647,participants
18,kool2017cost,0.6931471805599453,participants
19,kool2016when,0.6931471805599453,participants
20,krueger2022identifying,0.6931471805599453,participants
21,kumar2023disentangling,3.8918202981106265,participants
22,lefebvre2017behavioural,0.6931471805599453,participants
23,levering2020revisiting,0.6931471805599453,participants
24,ludwig2023human,0.6931471805599453,participants
25,peterson2021using,0.6931471805599453,participants
26,plonsky2018when,0.6931471805599453,participants
27,popov2023intent,3.58351893845611,participants
28,ruggeri2022globalizability,0.6931471805599453,participants
29,sadeghiyeh2020temporal,0.6931471805599453,participants
30,schulz2020finding,2.0794415416798357,participants
31,somerville2017charting,0.6931471805599453,participants
32,speekenbrink2008learning,0.6931471805599453,participants
33,steingroever2015data,1.3862943611198906,participants
34,tomov2020discovery,3.58351893845611,participants
35,tomov2021multitask,1.0986122886681098,participants
36,waltz2020differential,0.6931471805599453,participants
37,wilson2014humans,0.6931471805599453,participants
38,wise2019acomputational,4.605170185988092,participants
39,wu2018generalisation,3.4011973816621555,participants
40,wu2023chunking,3.58351893845611,participants
41,wulff2018description,0.6931471805599453,participants
42,wulff2018sampling,0.6931471805599453,participants
43,xiong2023neural,0.6931471805599453,participants
44,zhu2020bayesian,3.58351893845611,participants
45,zorowitz2023data,0.6931471805599453,participants
51,dubois2022value,1.0986122886681098,experiments
52,feher2020humans,0.6931471805599453,experiments
54,jansen2021logic,2.0149030205422647,experiments
