,task,unsloth/Meta-Llama-3.1-8B-bnb-4bit,custom_metric,unseen
0,badham2017deficits,0.6044727563858032,False,participants
1,bahrami2020four,0.9115312695503236,False,participants
2,enkavi2019adaptivenback,0.5652757883071899,False,participants
3,enkavi2019digitspan,0.7627016305923462,False,participants
4,enkavi2019gonogo,0.0036321021616458,False,participants
5,enkavi2019recentprobes,0.3858366310596466,False,participants
6,feng2021dynamics,0.3649269044399261,False,participants
7,flesch2018comparing,0.4770940542221069,False,participants
8,frey2017cct,0.2541635036468506,False,participants
9,frey2017risk,0.082279086112976,False,participants
10,gershman2018deconstructing,0.4009594023227691,False,participants
11,gershman2020reward,0.703590452671051,False,participants
12,hebart2023things,1.161523461341858,False,participants
13,hilbig2014generalized,0.2540365159511566,False,participants
14,kool2016when,0.6205820441246033,False,participants
15,kool2017cost,0.6214512586593628,False,participants
16,lefebvre2017behavioural,0.5757931470870972,False,participants
17,levering2020revisiting,0.5763198137283325,False,participants
18,ludwig2023human,0.6017823815345764,False,participants
19,peterson2021using,0.5496525168418884,False,participants
20,plonsky2018when,0.3870182335376739,False,participants
21,ruggeri2022globalizability,0.7589836716651917,False,participants
22,sadeghiyeh2020temporal,0.6611850261688232,False,participants
23,schulz2020finding,0.8566522598266602,False,participants
24,somerville2017charting,0.4953236877918243,False,participants
25,speekenbrink2008learning,0.5806341171264648,False,participants
26,steingroever2015data,1.0376192331314087,False,participants
27,tomov2020discovery,1.5497969388961792,False,participants
28,tomov2021multitask,0.6725279092788696,False,participants
29,waltz2020differential,0.3123064637184143,False,participants
30,wilson2014humans,0.546356737613678,False,participants
31,wu2023chunking,0.1984604895114898,False,participants
32,wulff2018description,0.9423682689666748,False,participants
33,wulff2018sampling,0.665556013584137,False,participants
34,xiong2023neural,0.3686055243015289,False,participants
35,zorowitz2023data,0.5837167501449585,False,participants
0,collsiöö2023MCPL,1.3277864456176758,True,participants
1,cox2017information,1.3861607313156128,True,participants
2,garcia2023experiential,0.6661178469657898,True,participants
3,jansen2021dunningkruger,2.1455914974212646,True,participants
4,krueger2022identifying,0.7666102647781372,True,participants
5,kumar2023disentangling,2.8257923126220703,True,participants
6,popov2023intent,1.4397640228271484,True,participants
7,wise2019acomputational,5.240735530853272,True,participants
8,wu2018generalisation,2.609081983566284,True,participants
9,zhu2020bayesian,2.729823350906372,True,participants
0,feher2020humans,0.6167336702346802,False,experiments
1,dubois2022value,0.5922561883926392,False,experiments
0,jansen2021logic,2.0004987716674805,True,experiments
