,participant,question,choice,task,trial
0,0,absAssess0,15,0,0
1,0,relAssess0,85,0,1
2,0,diffOther0,5,0,2
3,0,diffSelf0,2,0,3
4,0,Q1,he or she is expected to master the printed form of language.,0,4
5,0,Q2,man and there he was able to find,0,5
6,0,Q3,"poetry, along with all the other arts, are",0,6
7,0,Q4,it difficult to choose,0,7
8,0,Q5,to accept responsibility for one's own decisions.,0,8
9,0,Q6,are native to shores,0,9
10,0,Q7,"than studying for a long, continuous period.",0,10
11,0,Q8,those in Crime and Punishment exhibit,0,11
12,0,Q9,portrayal of the feelings of many Spaniards,0,12
13,0,Q10,and finally succeeded,0,13
14,0,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had sat,0,14
15,0,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
16,0,Q13,the city council designated him,0,16
17,0,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
18,0,Q15,If the room had been brighter,0,18
19,0,Q16,two students because they used notes anyway.,0,19
20,0,Q17,through which exchange of gas occurs,0,20
21,0,Q18,who tends to resist any attempt at,0,21
22,0,Q19,The amount of water in living cells varies,0,22
23,0,Q20,The belief of ancient scientists was,0,23
24,0,score,12,0,24
25,0,absAssess1,14,0,25
26,0,relAssess1,75,0,26
27,0,diffOther1,7,0,27
28,0,diffSelf1,6,0,28
29,1,absAssess0,16,0,0
30,1,relAssess0,75,0,1
31,1,diffOther0,8,0,2
32,1,diffSelf0,4,0,3
33,1,Q1,he or she is expected to master the printed form of language.,0,4
34,1,Q2,man and found,0,5
35,1,Q3,"poetry, along with all the other arts, is",0,6
36,1,Q4,it difficult to choose,0,7
37,1,Q5,to accept responsibility for one's own decisions.,0,8
38,1,Q6,are native to shores,0,9
39,1,Q7,"than a period of long, continuous study.",0,10
40,1,Q8,those in Crime and Punishment exhibit,0,11
41,1,Q9,feelings portrayed by Spaniards,0,12
42,1,Q10,and finally succeeded,0,13
43,1,Q11,had lain on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
44,1,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
45,1,Q13,the city council designated him,0,16
46,1,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
47,1,Q15,If the room was brighter,0,18
48,1,Q16,two students because they used notes anyway.,0,19
49,1,Q17,through which gas is exchanged,0,20
50,1,Q18,who tend to resist any attempt at,0,21
51,1,Q19,The amount of water in living cells varies,0,22
52,1,Q20,The belief of ancient scientists was,0,23
53,1,score,14,0,24
54,1,absAssess1,15,0,25
55,1,relAssess1,70,0,26
56,1,diffOther1,9,0,27
57,1,diffSelf1,6,0,28
58,2,absAssess0,14,0,0
59,2,relAssess0,51,0,1
60,2,diffOther0,5,0,2
61,2,diffSelf0,5,0,3
62,2,Q1,he or she is expected to master the printed form of language.,0,4
63,2,Q2,man and found,0,5
64,2,Q3,"poetry, along with all the other arts, is",0,6
65,2,Q4,it difficult to choose,0,7
66,2,Q5,accepting responsibility for one's own decisions.,0,8
67,2,Q6,are native to shores,0,9
68,2,Q7,than a long period of continuous study.,0,10
69,2,Q8,those in Crime and Punishment exhibit,0,11
70,2,Q9,feelings,0,12
71,2,Q10,and finally succeeded,0,13
72,2,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had sat,0,14
73,2,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
74,2,Q13,the city council designated him,0,16
75,2,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
76,2,Q15,If the room had been brighter,0,18
77,2,Q16,two students because they used notes anyway.,0,19
78,2,Q17,through which exchange of gases occurs,0,20
79,2,Q18,who tends to resist any attempt at,0,21
80,2,Q19,The amount of water in living cells varies,0,22
81,2,Q20,The belief of ancient scientists was,0,23
82,2,score,14,0,24
83,2,absAssess1,11,0,25
84,2,relAssess1,51,0,26
85,2,diffOther1,8,0,27
86,2,diffSelf1,8,0,28
87,3,absAssess0,10,0,0
88,3,relAssess0,52,0,1
89,3,diffOther0,6,0,2
90,3,diffSelf0,7,0,3
91,3,Q1,mastery of the printed form of language is expected of him or her.,0,4
92,3,Q2,man and there he was able to find,0,5
93,3,Q3,"poetry, along with all the other arts, is",0,6
94,3,Q4,it difficult to choose,0,7
95,3,Q5,to accept responsibility for one's own decisions.,0,8
96,3,Q6,are native to shores,0,9
97,3,Q7,"than a long, continuous period of study.",0,10
98,3,Q8,those in Crime and Punishment exhibit,0,11
99,3,Q9,feelings portrayed by Spaniards,0,12
100,3,Q10,and finally succeeded,0,13
101,3,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had sat,0,14
102,3,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
103,3,Q13,the city council designated him,0,16
104,3,Q14,"""Bob, have you checked with our office in Canton, Ohio, to see if it stocks slate, flagstone, and feather rock?""",0,17
105,3,Q15,If the room had been brighter,0,18
106,3,Q16,two students due to the use of their notes.,0,19
107,3,Q17,through which exchange of gases occurs,0,20
108,3,Q18,whose tendency to resist any attempt at,0,21
109,3,Q19,The amount of water in living cells varies,0,22
110,3,Q20,The belief of ancient scientists were,0,23
111,3,score,11,0,24
112,3,absAssess1,10,0,25
113,3,relAssess1,53,0,26
114,3,diffOther1,5,0,27
115,3,diffSelf1,5,0,28
116,4,absAssess0,15,0,0
117,4,relAssess0,78,0,1
118,4,diffOther0,4,0,2
119,4,diffSelf0,2,0,3
120,4,Q1,he or she is expected to master the printed form of language.,0,4
121,4,Q2,man and had found,0,5
122,4,Q3,"poetry, along with all the other arts, are",0,6
123,4,Q4,it difficult to choose,0,7
124,4,Q5,to accept responsibility for one's own decisions.,0,8
125,4,Q6,are native,0,9
126,4,Q7,"than a long, continuous period of study.",0,10
127,4,Q8,Crime and Punishment exhibits,0,11
128,4,Q9,portrays the feelings of many Spaniards,0,12
129,4,Q10,and finally succeeded,0,13
130,4,Q11,had lain on the hay beside it's mother and had begun to nurse as soon as the boy had set,0,14
131,4,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
132,4,Q13,he was designated by the city council,0,16
133,4,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
134,4,Q15,If the room would have been brighter,0,18
135,4,Q16,two students due to the use of their notes.,0,19
136,4,Q17,through which gas is exchanged,0,20
137,4,Q18,who tends to resistance of any attempt at,0,21
138,4,Q19,The amount of water in living cells varies,0,22
139,4,Q20,The ancient scientists beliefs were,0,23
140,4,score,7,0,24
141,4,absAssess1,15,0,25
142,4,relAssess1,78,0,26
143,4,diffOther1,4,0,27
144,4,diffSelf1,4,0,28
145,5,absAssess0,10,0,0
146,5,relAssess0,63,0,1
147,5,diffOther0,7,0,2
148,5,diffSelf0,6,0,3
149,5,Q1,he or she is expected to master the printed form of language.,0,4
150,5,Q2,man and found,0,5
151,5,Q3,poetry and art are,0,6
152,5,Q4,it difficult to choose,0,7
153,5,Q5,accepting responsibility and making one's own decisions.,0,8
154,5,Q6,are native to shores,0,9
155,5,Q7,than a long period of continuous study.,0,10
156,5,Q8,those in Crime and Punishment exhibit,0,11
157,5,Q9,feelings,0,12
158,5,Q10,and finally succeeded,0,13
159,5,Q11,had lain on the hay beside it's mother and had begun to nurse as soon as the boy had set,0,14
160,5,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
161,5,Q13,he was designated by the city council,0,16
162,5,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
163,5,Q15,If the room had been brighter,0,18
164,5,Q16,two students because they used notes anyway.,0,19
165,5,Q17,through which exchange of gas occurs,0,20
166,5,Q18,who tends to resist any attempt at,0,21
167,5,Q19,The amount of water in living cells varies,0,22
168,5,Q20,The belief of ancient scientists was,0,23
169,5,score,13,0,24
170,5,absAssess1,15,0,25
171,5,relAssess1,66,0,26
172,5,diffOther1,6,0,27
173,5,diffSelf1,4,0,28
174,6,absAssess0,18,0,0
175,6,relAssess0,90,0,1
176,6,diffOther0,7,0,2
177,6,diffSelf0,2,0,3
178,6,Q1,he or she is expected to master the printed form of language.,0,4
179,6,Q2,man and found,0,5
180,6,Q3,"poetry, along with all the other arts, is",0,6
181,6,Q4,it difficult to choose,0,7
182,6,Q5,to accept responsibility for one's own decisions.,0,8
183,6,Q6,are native to shores,0,9
184,6,Q7,than a long period of continuous study.,0,10
185,6,Q8,those in Crime and Punishment exhibit,0,11
186,6,Q9,portrayal of the feelings of many Spaniards,0,12
187,6,Q10,and finally succeeded,0,13
188,6,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
189,6,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
190,6,Q13,the city council designated him,0,16
191,6,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
192,6,Q15,If the room had been brighter,0,18
193,6,Q16,two students because they used notes anyway.,0,19
194,6,Q17,through which exchange of gases occurs,0,20
195,6,Q18,who tend to resist any attempt at,0,21
196,6,Q19,The amount of water in living cells varies,0,22
197,6,Q20,The belief of ancient scientists was,0,23
198,6,score,15,0,24
199,6,absAssess1,18,0,25
200,6,relAssess1,90,0,26
201,6,diffOther1,8,0,27
202,6,diffSelf1,2,0,28
203,7,absAssess0,13,0,0
204,7,relAssess0,53,0,1
205,7,diffOther0,5,0,2
206,7,diffSelf0,5,0,3
207,7,Q1,he or she is expected to master the printed form of language.,0,4
208,7,Q2,man and found,0,5
209,7,Q3,"poetry, along with all the other arts, is",0,6
210,7,Q4,it difficult to choose,0,7
211,7,Q5,to accept responsibility for one's own decisions.,0,8
212,7,Q6,are native to shores,0,9
213,7,Q7,than a long period of continuous study.,0,10
214,7,Q8,those in Crime and Punishment exhibit,0,11
215,7,Q9,portrayal of the feelings of many Spaniards,0,12
216,7,Q10,and finally succeeded,0,13
217,7,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had sat,0,14
218,7,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
219,7,Q13,the city council designated him,0,16
220,7,Q14,"""Bob have you checked with our office in Canton, Ohio, to see if it stocks slate, flagstone, and feather rock?""",0,17
221,7,Q15,If the room was brighter,0,18
222,7,Q16,two students because they used notes anyway.,0,19
223,7,Q17,through which gas is exchanged,0,20
224,7,Q18,who tends to resist any attempt at,0,21
225,7,Q19,The amount of water in living cells varies,0,22
226,7,Q20,The belief of ancient scientists was,0,23
227,7,score,12,0,24
228,7,absAssess1,12,0,25
229,7,relAssess1,50,0,26
230,7,diffOther1,7,0,27
231,7,diffSelf1,6,0,28
232,8,absAssess0,18,0,0
233,8,relAssess0,90,0,1
234,8,diffOther0,4,0,2
235,8,diffSelf0,2,0,3
236,8,Q1,he or she faces expectations of mastering the printed form of language.,0,4
237,8,Q2,man and found,0,5
238,8,Q3,"poetry, along with all the other arts, is",0,6
239,8,Q4,it difficult to choose,0,7
240,8,Q5,to accept responsibility for one's own decisions.,0,8
241,8,Q6,are native to shores,0,9
242,8,Q7,than a long period of continuous study.,0,10
243,8,Q8,those in Crime and Punishment exhibit,0,11
244,8,Q9,portrayal of the feelings of many Spaniards,0,12
245,8,Q10,and finally succeeded,0,13
246,8,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had sat,0,14
247,8,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
248,8,Q13,he was designated by the city council,0,16
249,8,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
250,8,Q15,If the room had been brighter,0,18
251,8,Q16,two students because they used notes anyway.,0,19
252,8,Q17,through which gas is exchanged,0,20
253,8,Q18,who tends to resist any attempt at,0,21
254,8,Q19,The amount of water in living cells varies,0,22
255,8,Q20,The belief of ancient scientists was,0,23
256,8,score,13,0,24
257,8,absAssess1,15,0,25
258,8,relAssess1,80,0,26
259,8,diffOther1,6,0,27
260,8,diffSelf1,5,0,28
261,9,absAssess0,18,0,0
262,9,relAssess0,87,0,1
263,9,diffOther0,5,0,2
264,9,diffSelf0,2,0,3
265,9,Q1,he or she is expected to master the printed form of language.,0,4
266,9,Q2,man and found,0,5
267,9,Q3,"poetry, along with all the other arts, is",0,6
268,9,Q4,it difficult to choose,0,7
269,9,Q5,to accept responsibility for one's own decisions.,0,8
270,9,Q6,are native to shores,0,9
271,9,Q7,"than a long, continuous period of study.",0,10
272,9,Q8,those in Crime and Punishment exhibit,0,11
273,9,Q9,portrays the feelings of many Spaniards,0,12
274,9,Q10,and finally succeeded,0,13
275,9,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
276,9,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
277,9,Q13,the city council designated him,0,16
278,9,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
279,9,Q15,If the room was brighter,0,18
280,9,Q16,two students due to the use of their notes.,0,19
281,9,Q17,through which gas is exchanged,0,20
282,9,Q18,who tends to resist any attempt at,0,21
283,9,Q19,The amount of water in living cells varies,0,22
284,9,Q20,The belief of ancient scientists was,0,23
285,9,score,11,0,24
286,9,absAssess1,17,0,25
287,9,relAssess1,82,0,26
288,9,diffOther1,8,0,27
289,9,diffSelf1,3,0,28
