,participant,task,trial,current_state,choice,reward
0,21.0,0,0,999,0,0
1,21.0,0,1,0,0,0
2,21.0,0,2,999,1,0
3,21.0,0,3,1,0,1
4,21.0,0,4,999,0,0
5,21.0,0,5,1,0,1
6,21.0,0,6,999,1,0
7,21.0,0,7,1,0,0
8,21.0,0,8,999,0,0
9,21.0,0,9,0,0,0
10,21.0,0,10,999,0,0
11,21.0,0,11,0,1,0
12,21.0,0,12,999,1,0
13,21.0,0,13,1,0,1
14,21.0,0,14,999,1,0
15,21.0,0,15,1,0,0
16,21.0,0,16,999,0,0
17,21.0,0,17,0,0,0
18,21.0,0,18,999,0,0
19,21.0,0,19,0,1,1
20,21.0,0,20,999,0,0
21,21.0,0,21,0,1,1
22,21.0,0,22,999,0,0
23,21.0,0,23,1,1,0
24,21.0,0,24,999,1,0
25,21.0,0,25,0,1,1
26,21.0,0,26,999,1,0
27,21.0,0,27,0,1,0
28,21.0,0,28,999,0,0
29,21.0,0,29,0,1,1
30,21.0,0,30,999,0,0
31,21.0,0,31,0,1,0
32,21.0,0,32,999,0,0
33,21.0,0,33,1,0,0
34,21.0,0,34,999,0,0
35,21.0,0,35,1,1,0
36,21.0,0,36,999,0,0
37,21.0,0,37,1,0,0
38,21.0,0,38,999,1,0
39,21.0,0,39,1,0,0
40,21.0,0,40,999,1,0
41,21.0,0,41,0,1,0
42,21.0,0,42,999,1,0
43,21.0,0,43,1,0,0
44,21.0,0,44,999,0,0
45,21.0,0,45,0,1,0
46,21.0,0,46,999,0,0
47,21.0,0,47,0,1,1
48,21.0,0,48,999,0,0
49,21.0,0,49,0,1,1
50,21.0,0,50,999,0,0
51,21.0,0,51,0,1,1
52,21.0,0,52,999,0,0
53,21.0,0,53,0,1,1
54,21.0,0,54,999,0,0
55,21.0,0,55,0,1,1
56,21.0,0,56,999,0,0
57,21.0,0,57,1,1,0
58,21.0,0,58,999,0,0
59,21.0,0,59,0,1,0
60,21.0,0,60,999,0,0
61,21.0,0,61,0,1,1
62,21.0,0,62,999,0,0
63,21.0,0,63,0,1,0
64,21.0,0,64,999,0,0
65,21.0,0,65,1,0,1
66,21.0,0,66,999,1,0
67,21.0,0,67,1,0,0
68,21.0,0,68,999,0,0
69,21.0,0,69,0,1,0
70,21.0,0,70,999,0,0
71,21.0,0,71,1,0,0
72,21.0,0,72,999,0,0
73,21.0,0,73,0,1,1
74,21.0,0,74,999,0,0
75,21.0,0,75,0,1,0
76,21.0,0,76,999,1,0
77,21.0,0,77,1,1,0
78,21.0,0,78,999,1,0
79,21.0,0,79,0,1,0
80,21.0,0,80,999,1,0
81,21.0,0,81,0,0,1
82,21.0,0,82,999,1,0
83,21.0,0,83,1,1,1
84,21.0,0,84,999,1,0
85,21.0,0,85,0,0,0
86,21.0,0,86,999,1,0
87,21.0,0,87,1,1,0
88,21.0,0,88,999,1,0
89,21.0,0,89,1,1,0
90,21.0,0,90,999,1,0
91,21.0,0,91,1,0,0
92,21.0,0,92,999,1,0
93,21.0,0,93,1,1,0
94,21.0,0,94,999,0,0
95,21.0,0,95,0,1,1
96,21.0,0,96,999,0,0
97,21.0,0,97,0,1,1
98,21.0,0,98,999,0,0
99,21.0,0,99,1,1,1
100,21.0,0,100,999,0,0
101,21.0,0,101,0,1,0
102,21.0,0,102,999,0,0
103,21.0,0,103,1,1,0
104,21.0,0,104,999,0,0
105,21.0,0,105,0,1,1
106,21.0,0,106,999,0,0
107,21.0,0,107,0,1,1
108,21.0,0,108,999,0,0
109,21.0,0,109,0,1,1
110,21.0,0,110,999,0,0
111,21.0,0,111,0,1,1
112,21.0,0,112,999,0,0
113,21.0,0,113,0,1,1
114,21.0,0,114,999,0,0
115,21.0,0,115,0,1,1
116,21.0,0,116,999,0,0
117,21.0,0,117,0,1,1
118,21.0,0,118,999,0,0
119,21.0,0,119,0,1,0
120,21.0,0,120,999,0,0
121,21.0,0,121,0,1,0
122,21.0,0,122,999,0,0
123,21.0,0,123,0,0,0
124,21.0,0,124,999,0,0
125,21.0,0,125,1,1,1
126,21.0,0,126,999,1,0
127,21.0,0,127,1,1,0
128,21.0,0,128,999,1,0
129,21.0,0,129,0,1,1
130,21.0,0,130,999,1,0
131,21.0,0,131,1,1,0
132,21.0,0,132,999,1,0
133,21.0,0,133,1,1,0
134,21.0,0,134,999,1,0
135,21.0,0,135,1,0,1
136,21.0,0,136,999,1,0
137,21.0,0,137,1,0,1
138,21.0,0,138,999,1,0
139,21.0,0,139,1,0,0
140,21.0,0,140,999,1,0
141,21.0,0,141,1,0,0
142,21.0,0,142,999,1,0
143,21.0,0,143,1,1,0
144,21.0,0,144,999,1,0
145,21.0,0,145,1,0,0
146,21.0,0,146,999,1,0
147,21.0,0,147,1,0,0
148,21.0,0,148,999,1,0
149,21.0,0,149,1,0,1
150,21.0,0,150,999,1,0
151,21.0,0,151,1,0,1
152,21.0,0,152,999,1,0
153,21.0,0,153,1,0,1
154,21.0,0,154,999,1,0
155,21.0,0,155,1,0,1
156,21.0,0,156,999,1,0
157,21.0,0,157,1,0,1
158,21.0,0,158,999,1,0
159,21.0,0,159,0,1,1
160,21.0,0,160,999,1,0
161,21.0,0,161,0,1,1
162,21.0,0,162,999,1,0
163,21.0,0,163,1,0,0
164,21.0,0,164,999,1,0
165,21.0,0,165,0,1,1
166,21.0,0,166,999,1,0
167,21.0,0,167,0,1,1
168,21.0,0,168,999,1,0
169,21.0,0,169,1,0,1
170,21.0,0,170,999,1,0
171,21.0,0,171,1,0,0
172,21.0,0,172,999,1,0
173,21.0,0,173,0,1,0
174,21.0,0,174,999,1,0
175,21.0,0,175,1,0,1
176,21.0,0,176,999,1,0
177,21.0,0,177,0,1,1
178,21.0,0,178,999,1,0
179,21.0,0,179,0,1,0
180,21.0,0,180,999,1,0
181,21.0,0,181,1,0,0
182,21.0,0,182,999,1,0
183,21.0,0,183,1,0,1
184,21.0,0,184,999,1,0
185,21.0,0,185,0,1,0
186,21.0,0,186,999,1,0
187,21.0,0,187,0,1,0
188,21.0,0,188,999,1,0
189,21.0,0,189,0,1,1
190,21.0,0,190,999,1,0
191,21.0,0,191,0,1,1
192,21.0,0,192,999,1,0
193,21.0,0,193,1,0,0
194,21.0,0,194,999,1,0
195,21.0,0,195,0,1,1
196,21.0,0,196,999,1,0
197,21.0,0,197,1,1,1
198,21.0,0,198,999,1,0
199,21.0,0,199,1,1,0
200,21.0,0,200,999,1,0
201,21.0,0,201,1,1,0
202,21.0,0,202,999,1,0
203,21.0,0,203,1,1,0
204,21.0,0,204,999,1,0
205,21.0,0,205,1,1,1
206,21.0,0,206,999,1,0
207,21.0,0,207,1,1,0
208,21.0,0,208,999,1,0
209,21.0,0,209,1,1,0
210,21.0,0,210,999,1,0
211,21.0,0,211,1,1,0
212,21.0,0,212,999,1,0
213,21.0,0,213,1,0,0
214,21.0,0,214,999,1,0
215,21.0,0,215,1,1,1
216,21.0,0,216,999,1,0
217,21.0,0,217,0,1,1
218,21.0,0,218,999,1,0
219,21.0,0,219,0,1,1
220,21.0,0,220,999,1,0
221,21.0,0,221,0,1,1
222,21.0,0,222,999,1,0
223,21.0,0,223,0,1,1
224,21.0,0,224,999,1,0
225,21.0,0,225,1,1,0
226,21.0,0,226,999,1,0
227,21.0,0,227,1,1,1
228,21.0,0,228,999,1,0
229,21.0,0,229,1,1,1
230,21.0,0,230,999,1,0
231,21.0,0,231,1,1,0
232,21.0,0,232,999,1,0
233,21.0,0,233,0,1,0
234,21.0,0,234,999,1,0
235,21.0,0,235,0,1,1
236,21.0,0,236,999,1,0
237,21.0,0,237,0,1,1
238,21.0,0,238,999,1,0
239,21.0,0,239,0,1,0
240,21.0,0,240,999,1,0
241,21.0,0,241,1,1,0
242,21.0,0,242,999,1,0
243,21.0,0,243,0,1,1
244,21.0,0,244,999,1,0
245,21.0,0,245,1,1,0
246,21.0,0,246,999,1,0
247,21.0,0,247,1,1,1
248,21.0,0,248,999,1,0
249,21.0,0,249,1,1,0
250,28.0,0,0,999,1,0
251,28.0,0,1,1,0,0
252,28.0,0,2,999,0,0
253,28.0,0,3,0,0,1
254,28.0,0,4,999,1,0
255,28.0,0,5,1,0,1
256,28.0,0,6,999,0,0
257,28.0,0,7,1,0,0
258,28.0,0,8,999,0,0
259,28.0,0,9,0,0,0
260,28.0,0,10,999,0,0
261,28.0,0,11,1,0,1
262,28.0,0,12,999,0,0
263,28.0,0,13,0,1,1
264,28.0,0,14,999,0,0
265,28.0,0,15,0,0,1
266,28.0,0,16,999,0,0
267,28.0,0,17,0,1,0
268,28.0,0,18,999,0,0
269,28.0,0,19,0,0,1
270,28.0,0,20,999,1,0
271,28.0,0,21,0,1,0
272,28.0,0,22,999,1,0
273,28.0,0,23,0,0,1
274,28.0,0,24,999,0,0
275,28.0,0,25,0,1,1
276,28.0,0,26,999,0,0
277,28.0,0,27,1,0,0
278,28.0,0,28,999,0,0
279,28.0,0,29,0,0,1
280,28.0,0,30,999,0,0
281,28.0,0,31,0,0,0
282,28.0,0,32,999,0,0
283,28.0,0,33,0,0,1
284,28.0,0,34,999,0,0
285,28.0,0,35,0,0,1
286,28.0,0,36,999,0,0
287,28.0,0,37,1,0,1
288,28.0,0,38,999,0,0
289,28.0,0,39,0,0,1
290,28.0,0,40,999,0,0
291,28.0,0,41,0,0,1
292,28.0,0,42,999,0,0
293,28.0,0,43,1,0,0
294,28.0,0,44,999,0,0
295,28.0,0,45,0,0,0
296,28.0,0,46,999,0,0
297,28.0,0,47,1,0,1
298,28.0,0,48,999,0,0
299,28.0,0,49,0,0,0
300,28.0,0,50,999,0,0
301,28.0,0,51,1,0,0
302,28.0,0,52,999,0,0
303,28.0,0,53,0,0,0
304,28.0,0,54,999,0,0
305,28.0,0,55,0,1,0
306,28.0,0,56,999,0,0
307,28.0,0,57,1,0,1
308,28.0,0,58,999,0,0
309,28.0,0,59,0,0,0
310,28.0,0,60,999,0,0
311,28.0,0,61,0,1,0
312,28.0,0,62,999,0,0
313,28.0,0,63,0,0,0
314,28.0,0,64,999,0,0
315,28.0,0,65,0,1,0
316,28.0,0,66,999,0,0
317,28.0,0,67,1,0,1
318,28.0,0,68,999,0,0
319,28.0,0,69,0,0,0
320,28.0,0,70,999,0,0
321,28.0,0,71,1,0,0
322,28.0,0,72,999,0,0
323,28.0,0,73,1,0,1
324,28.0,0,74,999,0,0
325,28.0,0,75,0,1,0
326,28.0,0,76,999,0,0
327,28.0,0,77,0,0,0
328,28.0,0,78,999,0,0
329,28.0,0,79,0,1,0
330,28.0,0,80,999,0,0
331,28.0,0,81,1,0,1
332,28.0,0,82,999,0,0
333,28.0,0,83,1,0,1
334,28.0,0,84,999,0,0
335,28.0,0,85,1,0,0
336,28.0,0,86,999,0,0
337,28.0,0,87,0,0,0
338,28.0,0,88,999,0,0
339,28.0,0,89,1,0,1
340,28.0,0,90,999,0,0
341,28.0,0,91,0,1,0
342,28.0,0,92,999,0,0
343,28.0,0,93,0,0,0
344,28.0,0,94,999,0,0
345,28.0,0,95,0,0,1
346,28.0,0,96,999,0,0
347,28.0,0,97,0,0,1
348,28.0,0,98,999,0,0
349,28.0,0,99,0,0,0
350,28.0,0,100,999,0,0
351,28.0,0,101,1,0,1
352,28.0,0,102,999,0,0
353,28.0,0,103,0,0,1
354,28.0,0,104,999,0,0
355,28.0,0,105,0,0,1
356,28.0,0,106,999,0,0
357,28.0,0,107,0,0,0
358,28.0,0,108,999,0,0
359,28.0,0,109,1,0,1
360,28.0,0,110,999,0,0
361,28.0,0,111,0,0,1
362,28.0,0,112,999,0,0
363,28.0,0,113,0,0,0
364,28.0,0,114,999,0,0
365,28.0,0,115,0,0,0
366,28.0,0,116,999,0,0
367,28.0,0,117,0,1,0
368,28.0,0,118,999,0,0
369,28.0,0,119,0,0,1
370,28.0,0,120,999,0,0
371,28.0,0,121,0,0,0
372,28.0,0,122,999,0,0
373,28.0,0,123,0,0,1
374,28.0,0,124,999,0,0
375,28.0,0,125,0,0,0
376,28.0,0,126,999,0,0
377,28.0,0,127,0,0,1
378,28.0,0,128,999,0,0
379,28.0,0,129,0,0,1
380,28.0,0,130,999,0,0
381,28.0,0,131,0,0,1
382,28.0,0,132,999,0,0
383,28.0,0,133,0,0,0
384,28.0,0,134,999,0,0
385,28.0,0,135,0,0,0
386,28.0,0,136,999,0,0
387,28.0,0,137,1,0,1
388,28.0,0,138,999,0,0
389,28.0,0,139,1,0,1
390,28.0,0,140,999,0,0
391,28.0,0,141,0,0,1
392,28.0,0,142,999,0,0
393,28.0,0,143,1,0,1
394,28.0,0,144,999,0,0
395,28.0,0,145,0,0,0
396,28.0,0,146,999,0,0
397,28.0,0,147,1,0,0
398,28.0,0,148,999,0,0
399,28.0,0,149,1,0,1
400,28.0,0,150,999,0,0
401,28.0,0,151,0,0,0
402,28.0,0,152,999,0,0
403,28.0,0,153,0,0,0
404,28.0,0,154,999,0,0
405,28.0,0,155,0,0,0
406,28.0,0,156,999,0,0
407,28.0,0,157,1,0,1
408,28.0,0,158,999,0,0
409,28.0,0,159,1,0,1
410,28.0,0,160,999,0,0
411,28.0,0,161,0,0,1
412,28.0,0,162,999,0,0
413,28.0,0,163,0,0,0
414,28.0,0,164,999,0,0
415,28.0,0,165,0,0,0
416,28.0,0,166,999,0,0
417,28.0,0,167,0,0,1
418,28.0,0,168,999,0,0
419,28.0,0,169,1,0,1
420,28.0,0,170,999,0,0
421,28.0,0,171,0,0,0
422,28.0,0,172,999,0,0
423,28.0,0,173,0,0,1
424,28.0,0,174,999,0,0
425,28.0,0,175,1,0,1
426,28.0,0,176,999,0,0
427,28.0,0,177,0,0,1
428,28.0,0,178,999,0,0
429,28.0,0,179,0,0,0
430,28.0,0,180,999,0,0
431,28.0,0,181,0,0,1
432,28.0,0,182,999,0,0
433,28.0,0,183,0,0,0
434,28.0,0,184,999,0,0
435,28.0,0,185,1,0,1
436,28.0,0,186,999,0,0
437,28.0,0,187,0,0,0
438,28.0,0,188,999,0,0
439,28.0,0,189,1,0,1
440,28.0,0,190,999,0,0
441,28.0,0,191,1,0,1
442,28.0,0,192,999,0,0
443,28.0,0,193,1,0,0
444,28.0,0,194,999,0,0
445,28.0,0,195,0,0,0
446,28.0,0,196,999,0,0
447,28.0,0,197,0,1,1
448,28.0,0,198,999,0,0
449,28.0,0,199,1,0,1
450,28.0,0,200,999,0,0
451,28.0,0,201,0,0,0
452,28.0,0,202,999,0,0
453,28.0,0,203,0,0,0
454,28.0,0,204,999,0,0
455,28.0,0,205,0,0,0
456,28.0,0,206,999,0,0
457,28.0,0,207,0,0,1
458,28.0,0,208,999,0,0
459,28.0,0,209,1,0,0
460,28.0,0,210,999,0,0
461,28.0,0,211,0,0,0
462,28.0,0,212,999,0,0
