state_left,state_right,choice,current_state,reward,multiplied_reward,stake_level,participant,reward.0.0,reward.0.1,reward.1.0,reward.1.1,task,trial
1,0,0,999,0.0,0.0,1,0,0.4,0.6,0.25,0.75,1,0
1,0,0,0,0.0,0.0,1,0,0.4,0.6,0.25,0.75,1,1
1,0,0,999,0.0,0.0,1,0,0.386156994,0.575232197,0.256760214,0.734634903,1,2
0,1,1,0,0.0,0.0,1,0,0.386156994,0.575232197,0.256760214,0.734634903,1,3
1,0,1,999,0.0,0.0,1,0,0.421222242,0.54227029,0.294667026,0.736217899,1,4
0,1,0,0,0.0,0.0,1,0,0.421222242,0.54227029,0.294667026,0.736217899,1,5
1,0,1,999,0.0,0.0,1,0,0.384780154,0.567075412,0.322793976,0.741494565,1,6
1,0,0,0,1.0,1.0,1,0,0.384780154,0.567075412,0.322793976,0.741494565,1,7
0,1,1,999,0.0,0.0,1,0,0.372001766,0.603887733,0.301412051,0.734685525,1,8
0,1,1,1,1.0,1.0,1,0,0.372001766,0.603887733,0.301412051,0.734685525,1,9
0,1,1,999,0.0,0.0,1,0,0.396289012,0.618171536,0.292312712,0.738341587,1,10
1,0,1,0,1.0,1.0,1,0,0.396289012,0.618171536,0.292312712,0.738341587,1,11
0,1,1,999,0.0,0.0,1,0,0.396513906,0.627430713,0.252153579,0.737646085,1,12
0,1,1,1,1.0,1.0,1,0,0.396513906,0.627430713,0.252153579,0.737646085,1,13
1,0,1,999,0.0,0.0,1,0,0.365787867,0.609833673,0.256689367,0.7374922,1,14
0,1,1,1,1.0,1.0,1,0,0.365787867,0.609833673,0.256689367,0.7374922,1,15
1,0,1,999,0.0,0.0,1,0,0.331827536,0.610529043,0.253862251,0.712046227,1,16
0,1,1,1,0.0,0.0,1,0,0.331827536,0.610529043,0.253862251,0.712046227,1,17
1,0,1,999,0.0,0.0,1,0,0.354036197,0.63476106,0.29984512,0.681029758,1,18
0,1,1,1,1.0,1.0,1,0,0.354036197,0.63476106,0.29984512,0.681029758,1,19
0,1,1,999,0.0,0.0,5,0,0.345977981,0.636160708,0.27321437,0.660362848,1,20
0,1,1,1,1.0,5.0,5,0,0.345977981,0.636160708,0.27321437,0.660362848,1,21
0,1,1,999,0.0,0.0,1,0,0.328328154,0.690961032,0.291202984,0.655972677,1,22
1,0,1,0,1.0,1.0,1,0,0.328328154,0.690961032,0.291202984,0.655972677,1,23
0,1,1,999,0.0,0.0,5,0,0.359470602,0.694694929,0.353441249,0.691550644,1,24
0,1,1,1,0.0,0.0,5,0,0.359470602,0.694694929,0.353441249,0.691550644,1,25
0,1,1,999,0.0,0.0,5,0,0.383006006,0.723278811,0.346590489,0.714482766,1,26
0,1,1,1,0.0,0.0,5,0,0.383006006,0.723278811,0.346590489,0.714482766,1,27
0,1,1,999,0.0,0.0,5,0,0.410699729,0.709476911,0.381422681,0.705345188,1,28
0,1,1,1,1.0,5.0,5,0,0.410699729,0.709476911,0.381422681,0.705345188,1,29
1,0,1,999,0.0,0.0,1,0,0.400528743,0.736357315,0.370268408,0.712821048,1,30
1,0,1,1,0.0,0.0,1,0,0.400528743,0.736357315,0.370268408,0.712821048,1,31
1,0,1,999,0.0,0.0,5,0,0.413765171,0.744421965,0.332664179,0.747653239,1,32
0,1,1,1,1.0,5.0,5,0,0.413765171,0.744421965,0.332664179,0.747653239,1,33
0,1,1,999,0.0,0.0,5,0,0.413777592,0.735999892,0.279726406,0.719830861,1,34
0,1,1,1,1.0,5.0,5,0,0.413777592,0.735999892,0.279726406,0.719830861,1,35
0,1,1,999,0.0,0.0,5,0,0.424062725,0.73212347,0.319302355,0.743614004,1,36
0,1,1,1,1.0,5.0,5,0,0.424062725,0.73212347,0.319302355,0.743614004,1,37
