,participant,param,reward
0,21.0,0.6152255535125732,0.24
1,28.0,0.0009246427216567099,0.24
2,34.0,1.0852161267393967e-06,0.256
3,36.0,3.560248984513237e-08,0.32
4,75.0,2.5059803121507684e-08,0.288
5,81.0,1.2294389506450898e-08,0.28
6,84.0,1.5172860301504443e-08,0.232
7,85.0,1.5126655483754803e-08,0.236
8,90.0,1.9869927925242337e-08,0.28
9,98.0,1.628130164021968e-08,0.268
10,106.0,2.810357280225162e-08,0.304
11,120.0,2.7786914102989613e-08,0.288
12,139.0,3.5131712650127156e-08,0.268
13,140.0,1.766563784144637e-08,0.2
14,165.0,1.0595334387630828e-08,0.292
15,172.0,1.5199653091713117e-08,0.292
16,178.0,1.0,0.244
17,195.0,1.0,0.272
