,participant,param,reward
0,21.0,0.5097903609275818,0.272
1,28.0,0.0009275918127968907,0.28
2,34.0,0.3394109606742859,0.248
3,36.0,0.9151643514633179,0.348
4,75.0,0.7427390813827515,0.304
5,81.0,0.5098886489868164,0.332
6,84.0,0.48563137650489807,0.284
7,85.0,0.6253262162208557,0.232
8,90.0,0.4551922082901001,0.336
9,98.0,0.0010878712637349963,0.212
10,106.0,0.7241746187210083,0.3
11,120.0,0.996174156665802,0.072
12,139.0,0.0011443942785263062,0.272
13,140.0,2.6001455353252823e-06,0.172
14,165.0,8.824388714856468e-06,0.28
15,172.0,8.84182645677356e-06,0.244
16,178.0,8.84182645677356e-06,0.24
17,195.0,8.84182645677356e-06,0.24
