,task,trial,horizon,uncertainty,slot1_value,slot2_value,choice,RT,reward,forced,participant,tier
0,0,0,10,3,40,36,0,4318.329000000001,42,1,0,0.0
1,0,1,10,3,40,36,1,1049.251,45,1,0,0.0
2,0,2,10,3,40,36,1,716.1189999999999,42,1,0,0.0
3,0,3,10,3,40,36,1,492.085,18,1,0,0.0
4,0,4,10,3,40,36,0,1420.97,36,0,0,0.0
5,0,5,10,3,40,36,1,6135.7660000000005,35,0,0,0.0
6,0,6,10,3,40,36,1,3656.347,42,0,0,0.0
7,0,7,10,3,40,36,1,1135.698,37,0,0,0.0
8,0,8,10,3,40,36,1,557.8610000000001,45,0,0,0.0
9,0,9,10,3,40,36,1,539.23,31,0,0,0.0
10,1,0,10,2,60,48,0,991.717,67,1,0,0.0
11,1,1,10,2,60,48,1,836.569,57,1,0,0.0
12,1,2,10,2,60,48,0,584.2349999999999,56,1,0,0.0
13,1,3,10,2,60,48,1,630.713,50,1,0,0.0
14,1,4,10,2,60,48,0,1002.298,63,0,0,0.0
15,1,5,10,2,60,48,0,373.403,67,0,0,0.0
16,1,6,10,2,60,48,0,521.7270000000001,64,0,0,0.0
17,1,7,10,2,60,48,0,234.923,57,0,0,0.0
18,1,8,10,2,60,48,0,222.117,56,0,0,0.0
19,1,9,10,2,60,48,0,273.618,66,0,0,0.0
20,2,0,10,2,40,36,1,1323.729,37,1,0,0.0
21,2,1,10,2,40,36,0,499.441,48,1,0,0.0
22,2,2,10,2,40,36,0,804.551,23,1,0,0.0
23,2,3,10,2,40,36,1,545.76,39,1,0,0.0
24,2,4,10,2,40,36,0,1057.104,30,0,0,0.0
25,2,5,10,2,40,36,1,562.919,35,0,0,0.0
26,2,6,10,2,40,36,0,16.203,45,0,0,0.0
27,2,7,10,2,40,36,0,756.0010000000001,47,0,0,0.0
28,2,8,10,2,40,36,0,257.838,32,0,0,0.0
29,2,9,10,2,40,36,1,308.021,26,0,0,0.0
30,3,0,5,2,40,48,1,1291.758,58,1,0,0.0
31,3,1,5,2,40,48,0,309.156,51,1,0,0.0
32,3,2,5,2,40,48,0,525.9150000000001,28,1,0,0.0
33,3,3,5,2,40,48,1,390.511,47,1,0,0.0
34,3,4,5,2,40,48,1,796.393,35,0,0,0.0
35,4,0,5,2,40,10,1,624.441,4,1,0,0.0
36,4,1,5,2,40,10,0,364.122,30,1,0,0.0
37,4,2,5,2,40,10,1,419.285,11,1,0,0.0
38,4,3,5,2,40,10,0,439.537,37,1,0,0.0
39,4,4,5,2,40,10,0,490.774,54,0,0,0.0
40,5,0,5,2,60,56,1,756.6610000000001,62,1,0,0.0
41,5,1,5,2,60,56,0,395.687,61,1,0,0.0
42,5,2,5,2,60,56,1,673.4259999999999,51,1,0,0.0
43,5,3,5,2,60,56,0,467.686,63,1,0,0.0
44,5,4,5,2,60,56,0,893.368,52,0,0,0.0
45,6,0,10,3,40,48,1,662.223,49,1,0,0.0
46,6,1,10,3,40,48,1,440.762,62,1,0,0.0
47,6,2,10,3,40,48,0,524.991,38,1,0,0.0
48,6,3,10,3,40,48,1,460.655,42,1,0,0.0
