,participant,task,trial,choice,reward,forced,slot1_value,slot2_value
0,9,0,0,0,66,1,60,56
1,9,0,1,1,57,1,60,56
2,9,0,2,0,57,1,60,56
3,9,0,3,0,59,1,60,56
4,9,0,4,1,55,0,60,56
5,9,1,0,0,86,1,90,60
6,9,1,1,0,84,1,90,60
7,9,1,2,1,57,1,90,60
8,9,1,3,1,66,1,90,60
9,9,1,4,0,86,0,90,60
10,9,1,5,0,85,0,90,60
11,9,1,6,0,92,0,90,60
12,9,1,7,0,97,0,90,60
13,9,1,8,0,64,0,90,60
14,9,1,9,0,88,0,90,60
15,9,2,0,0,50,1,40,60
16,9,2,1,1,67,1,40,60
17,9,2,2,0,37,1,40,60
18,9,2,3,1,53,1,40,60
19,9,2,4,1,64,0,40,60
20,9,3,0,1,60,1,32,40
21,9,3,1,0,40,1,32,40
22,9,3,2,1,42,1,32,40
23,9,3,3,1,43,1,32,40
24,9,3,4,1,23,0,32,40
25,9,4,0,0,30,1,40,32
26,9,4,1,1,40,1,40,32
27,9,4,2,1,25,1,40,32
28,9,4,3,1,34,1,40,32
29,9,4,4,1,43,0,40,32
30,9,5,0,0,62,1,60,64
31,9,5,1,1,79,1,60,64
32,9,5,2,1,74,1,60,64
33,9,5,3,0,48,1,60,64
34,9,5,4,1,55,0,60,64
35,9,6,0,0,62,1,60,40
36,9,6,1,0,73,1,60,40
37,9,6,2,0,56,1,60,40
38,9,6,3,1,37,1,60,40
39,9,6,4,0,51,0,60,40
40,9,7,0,0,2,1,10,40
41,9,7,1,1,43,1,10,40
42,9,7,2,0,20,1,10,40
43,9,7,3,0,21,1,10,40
44,9,7,4,1,40,0,10,40
45,9,7,5,1,46,0,10,40
46,9,7,6,1,47,0,10,40
47,9,7,7,1,25,0,10,40
48,9,7,8,1,47,0,10,40
49,9,7,9,1,50,0,10,40
50,9,8,0,1,61,1,40,52
51,9,8,1,1,49,1,40,52
52,9,8,2,0,45,1,40,52
53,9,8,3,1,46,1,40,52
54,9,8,4,1,58,0,40,52
55,9,8,5,1,47,0,40,52
56,9,8,6,1,42,0,40,52
57,9,8,7,1,55,0,40,52
58,9,8,8,1,46,0,40,52
59,9,8,9,1,58,0,40,52
60,9,9,0,1,65,1,60,64
61,9,9,1,1,73,1,60,64
62,9,9,2,0,51,1,60,64
63,9,9,3,0,58,1,60,64
64,9,9,4,1,59,0,60,64
65,9,9,5,1,62,0,60,64
